Géothermie;A & G puisatiers Experts;Éric Bouchard;450-372-2388;;450-378-3984;682, rue Dufferin;Granby;;;info@puisatiersexperts.com;;;
Bûcheron;Abattage du Québec;Serge Alarie;450-478-4097;514-386-6408;;246, Antonio;Ste-Anne Des Plaines;Québec;J0N 1H0;;;;
Acier d'armature;ABF Armatures Bois-Francs;Éric Bernier;819-758-7501;;819-758-2544;249, boul. Bonaventure;Victoriaville  ;Québec;G6T 1V5;mlepine@abf-inc.com;www.abf-inc.com;1466-8404-98;
Cloisons amovibles;AboxLDMA inc.;;450-963-4925;;450-622-9105;4062, boulevard Le Corbusier suite 201;Laval;Québec;H7L 5R2;;www.starwall.com;;
Ameublement;Accent Ameublements Migué;;450-839-7758;;450-839-7758;6, rue Dupuis;St-Jacques;Québec;J0K 2R0;;www.accentmeubles.com;;
Contrôles;Accs control-tech;;450-477-2929;;450-477-2292;3152, boul. des Entreprises;Terrebonne;Québec;J6X 4J8;info@accslegroupe.ca;;;Projet Dunton Rainville et Promutuel Lanaudière
Acier d'armature;Acier AGF inc.;Sylvain Vaillancourt;450-442-9494;;450-674-9867;2270 rue Garneau ;Longueuil;Québec;J4G 1E7;;www.acieragf.com;8234-6982-25;
Structure d'acier;Acier Bata;;450-477-8648;;450-477-2648;3382 Jacob Jordan;Terrebonne;Québec;J6X 4J6;info@acierbata.com;;;Fournisseur habituel
Acier d'armature;Acier d'armature 2000 inc.;;450-439-8288;;450-439-8031;207, rue de L'Industrie;Saint-Lin-Laurendides;Québec;J5M 0A3;Yvon@acierdarmature2000.com;;;Gros projet
Acier d'armature;Acier d'armature Ferneuf inc. ;Jean-Pierre Doucet;514-331-8170;;450-669-2392;2285, Rue Francis-Hugues, bureau 320;Laval;Québec;H7S 1N5;grobitaille@ferneuf.ca;;2581-4039-93;
Acier ;Acier Majeau et fils Ltée;;450-756-1031;;450-755-4477;140 Des Entreprises;Joliette;Québec;J6E 7Y8;info@aciermajeau.com;www.aciermajeau.com;;
Acier d'armature;Acier Pacifique;;514-384-4690;;450-629-1645;845. Munck;Laval;Québec;H7S 1A9;info@pacificsteel.ca;www.pacificsteel.ca ;;Gros projets
Structure d'acier;Acier Pacifique inc.;Roger Antebi;1-800-361-4167;;514-384-9353;845, Munck;Laval;Québec;H7S 1A9;info@pacificsteel.ca;www.pacificsteel.ca;2331-9619-74;
Enduit , ciment roulé;Acryliques Paquette inc.;Serge Paquette;450-759-3460 rés.;450-757-2710;450-759-7296 fax;2071, Adam;Notre-Dame de Lourdes;Québec;J0K 1K0;;;8269-2823-32;
Soulèvement de bâtiments;AD Fafard;Alain Dumontier;450-836-7583;;;240, Bayonne Nord;Berthierville;Québec;J0K 1A0;;;;
Ascenseurs;Adaptation 04 inc.;Patricia Goyette;819-372-0102;;819-372-0443;3025 Girard;Trois-Rivières;Québec;G8Z 2M4;adaptation04@cgocable.ca;;8100-4434-44;
Ascenseurs;Adaptation MD inc. (lève-personne / pas élévateur);Michel Desjardins;450-543-0951;;450-432-4740;530, 23e avenue;St-Jérôme;Québec;J7Z 6C9;;;;
Architecture;Adaptech;Louis Gingras;450-759-8702;450-750-8702;450-759-8616;306, rue Dalbec;St-Paul;Québec;J0K 3E0;coop@adaptech.qc.ca;;;
Plomberie;Aéro mécanique Turcotte inc.;;450-625-2627;;450-625-2650;1289, boul. Dagenais Ouest;Laval;Québec;H7L 5Z9;info@aeromt.ca;www.aeromt.ca ;;École Joliette
Ventilation;Aéro mécanique Turcotte inc.;;1-888-825-2376;;450-625-2650;1289, boul. Dagenais Ouest;Laval;Québec;H7L 5Z9;info@aeromt.ca;www.aeromt.ca ;3100-2066-09;
Échafaudage;AGF Du-For;Pierre Beaudet;514-385-1762;514-706-4844;514-385-1758;9601, boul. St-Laurent;Montréal;;H2N 1P6;pierre.beaudet@agfdufor.com;;;
Ventilation;Aireffex;Sophie Dormeyer;450-668-3737;514-652-5274;450-668-9960;943, Michelin;Laval;Québec;H7L 5B6;sdormeyer@aireffex.ca ;www.airtechnologies.ca;;Commercial et résidentiel
Alarme ;Alarme Beaudry;;450-756-0989;;450-752-1278;1324 Albert-Geoffroy;Joliette;Québec;J6E 7W8;;;2536-8101-75;
Alarme ;Alarme Pro-Tech M.V.;Mario Vincent;450-803-2456;450-757-3551;450-754-4296;218, 8e Avenue;Crabtree;Québec;J0K 1B0;;;8326-0802-18;
